description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Harina BENOTI Sin Prepar Paquete 180 gr,Benoti,180.0,g,1.2,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,6.666666666666666,HARINA DE MAÍZ BLANCO
Harina GRANO DE ORO Sin Preparar Paquete 180gr,Grano De Oro,180.0,g,1.3,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,7.222222222222222,HARINA DE MAÍZ BLANCO
Maíz Pop Corn COSTEÑO Bolsa 500g,Costeño,500.0,g,4.9,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,9.8,HARINA DE MAÍZ BLANCO
Harina BENOTI Sin Preparar Paquete 1Kg,Benoti,1.0,kg,5.3,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,5.3,HARINA DE MAÍZ BLANCO
Maíz Pop Corn VALLENORTE Bolsa 500gr,VALLENORTE,500.0,g,5.3,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,10.6,HARINA DE MAÍZ BLANCO
Harina GRANO DE ORO Sin Preparar Paquete 1kg,Grano De Oro,1.0,kg,5.8,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,5.8,HARINA DE MAÍZ BLANCO
Harina BENOTI Preparada Paquete 1Kg,Benoti,1.0,kg,6.0,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,6.0,HARINA DE MAÍZ BLANCO
Harina MOLITALIA sin Preparar Bolsa 1kg,Molitalia,1.0,kg,6.2,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,6.2,HARINA DE MAÍZ BLANCO
Harina MOLITALIA Preparada Bolsa 1kg,Molitalia,1.0,kg,6.9,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,6.9,HARINA DE MAÍZ BLANCO
Harina MORIXE de Maiz Blanco Bolsa 1Kg,MORIXE,1.0,kg,7.0,vivanda,2024-12-06 11:11:36.486531,HARINA DE MAÍZ BLANCO,1.0,kg,7.0,HARINA DE MAÍZ BLANCO
Harina BLANCA FLOR Preparada Paquete 1Kg,Blanca Flor,1.0,kg,8.0,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,8.0,HARINA DE MAÍZ BLANCO
Harina de Maiz Blanco Precocida P.A.N Contenido 1 kg,,1.0,kg,8.5,wong,2024-12-06 12:53:00.636554,HARINA DE MAÍZ BLANCO,1.0,kg,8.5,HARINA DE MAÍZ BLANCO
Harina de Maíz PAN Precocida Bolsa 1kg,P.A.N.,1.0,kg,8.5,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,8.5,HARINA DE MAÍZ BLANCO
Harina de Maiz Blanco Precocida P.A.N Contenido 1 kg,,1.0,kg,8.5,metro,2024-12-06 17:28:00.901132,HARINA DE MAÍZ BLANCO,1.0,kg,8.5,HARINA DE MAÍZ BLANCO
Mizena DURYEA Caja 500gr,Duryea,500.0,g,8.9,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,17.8,HARINA DE MAÍZ BLANCO
Harina de Maíz Blanco P.A.N. Precocida Bolsa 1...,,1.0,kg,9.5,plaza_vea,2024-12-06 13:09:41.869796,HARINA DE MAÍZ BLANCO,1.0,kg,9.5,HARINA DE MAÍZ BLANCO
Harina Precocida DOÑAREPA Maíz Blanco Paquete ...,,1.0,kg,9.8,plaza_vea,2024-12-06 13:09:41.869796,HARINA DE MAÍZ BLANCO,1.0,kg,9.8,HARINA DE MAÍZ BLANCO
Harina de Maíz Blanco Precocida Doñarepa 1kg,,1.0,kg,9.8,metro,2024-12-06 17:28:00.901132,HARINA DE MAÍZ BLANCO,1.0,kg,9.8,HARINA DE MAÍZ BLANCO
Harina Precocida DOÑAREPA Maíz Blanco Paquete 1Kg,DOÑAREPA,1.0,kg,9.9,vivanda,2024-12-06 11:11:36.486531,HARINA DE MAÍZ BLANCO,1.0,kg,9.9,HARINA DE MAÍZ BLANCO
Harina de Maíz Blanco Precocida Doñarepa 1kg,,1.0,kg,9.9,wong,2024-12-06 12:53:00.636554,HARINA DE MAÍZ BLANCO,1.0,kg,9.9,HARINA DE MAÍZ BLANCO
Panetón BLANCA FLOR Caja 900g,Blanca Flor,900.0,g,24.9,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,27.666666666666668,HARINA DE MAÍZ BLANCO
Arroz Extra COSTEÑO Bolsa 5Kg,Costeño,5.0,kg,24.9,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,4.98,HARINA DE MAÍZ BLANCO
Arroz Extra FARAON Bolsa 5Kg,Faraon,5.0,kg,26.2,vega,2024-12-06 11:03:02.993455,HARINA DE MAÍZ BLANCO,1.0,kg,5.24,HARINA DE MAÍZ BLANCO
