description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Pastel Pingüinos Minix Sabor Cookies & Cream 200g,S/ 8.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,200.0,g,8.5
Pastel Pingüinos Sabor Cookies & Cream 80g,S/ 3.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,80.0,g,3.5
Pastelitos Sabor Chocolate Marinela Pingüinos Minix 10un,S/ 8.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,10.0,un,8.5
Keke Sabor Vainilla Relleno Gansito Marinela Paquete 50 g,S/ 2.70,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,50.0,g,2.7
Alfajor Bon o Bon Arcor Paquete 6 unidades,S/ 19.60,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,6.0,un,19.6
Brownie Tipo Trufa Delisha x Unid,S/ 4.59,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,1.0,un,4.59
Cupcake Mascotas Gatito x unid,S/ 4.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,1.0,un,4.9
Mini Brownie Clásico Giardino 60un.,S/ 33.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,60.0,un,33.5
Galletas de Vainilla con Choco Chips Cuisine & Co 8un,S/ 14.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,8.0,un,14.9
Galletas Dolce María IIditas 100g,S/ 9.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,100.0,g,9.5
Paleta de Chocolate Bitter Giardino x Unid,S/ 2.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,1.0,un,2.5
Copa Tres Leches de Chocolate x Unid,S/ 10.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,1.0,un,10.5
Copa Tres Leches Clásica Vaso 1 unid,S/ 10.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,1.0,un,10.5
Galletas de Chocolate con Naranja Cuisine & Co 8un,S/ 14.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,8.0,un,14.9
Brownies Surtidos Giardino 4un,S/ 16.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,4.0,un,16.9
Alfajores Gustozzi 2un,S/ 6.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,2.0,un,6.9
Barra de Cereal Delisha Fit Granola 55g,S/ 4.20,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,55.0,g,4.2
Brownie con Fudge Delisha x Un,S/ 4.59,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,1.0,un,4.59
Mini Muffins Vainilla Chips Giardino 48un.,S/ 27.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,48.0,un,27.9
Alfajores Decorados Metro 18un,S/ 18.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,18.0,un,18.9
Mini Muffins Giardino Vainilla Chips 48un,S/ 19.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,48.0,un,19.9
Brownie Tradicional Delisha x Un,S/ 4.59,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,1.0,un,4.59
Galletas Dulce María Cachitos de Castañas Bolsa 100 g,S/ 9.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,100.0,g,9.5
Galletas Dolce María Canestrellis 100g,S/ 9.50,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,100.0,g,9.5
Galletas de Avena Dulce Detalle 3un,S/ 15.90,metro,PASTELES DULCES,2024-12-04 20:49:25.785051,3.0,un,15.9
