description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,metro,PASTA Y SALSA DE TOMATE,2024-12-04 22:11:39.107222,100.0,g,1.7,metro,,,PASTA Y SALSA DE TOMATE
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,wong,PASTA Y SALSA DE TOMATE,2024-12-04 20:30:04.424566,100.0,g,1.7,wong,,,PASTA Y SALSA DE TOMATE
Puré de Tomate Pomarola Concentrado 110 g,S/ 1.80,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,110.0,g,1.8,tottus,,MOLITALIA,PASTA Y SALSA DE TOMATE
Salsa De Tomate x 145 gr,S/ 1.80,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,145.0,g,1.8,tottus,,TOTTUS,PASTA Y SALSA DE TOMATE
Salsa de tomate Pomarola clásica 145 g,S/ 1.90,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,145.0,g,1.9,tottus,,MOLITALIA,PASTA Y SALSA DE TOMATE
Pasta de Tomate B & D 100g,S/ 2.20,metro,PASTA Y SALSA DE TOMATE,2024-12-04 22:11:39.107222,100.0,g,2.2,metro,,,PASTA Y SALSA DE TOMATE
Salsa tipo Tamarindo 2 BANDERAS con Pasta de T...,S/ 2.69 un,plaza_vea,PASTA Y SALSA DE TOMATE,2024-12-04 14:31:40.122310,100.0,g,2.69,plaza_vea,Bolsa 100g,,PASTA Y SALSA DE TOMATE
Salsa de tomate Pomarola clásica de 290 g,S/ 3.60,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,290.0,g,3.6,tottus,,MOLITALIA,PASTA Y SALSA DE TOMATE
Salsa de Tomate Pomarola Bolognesa con Carne de 170 g,S/ 3.70,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,170.0,g,3.7,tottus,,MOLITALIA,PASTA Y SALSA DE TOMATE
Salsa Roja de Tomate DON VITTORIO Doypack 200g,S/ 3.90 un,plaza_vea,PASTA Y SALSA DE TOMATE,2024-12-04 14:31:40.122310,200.0,g,3.9,plaza_vea,Doypack 200g,,PASTA Y SALSA DE TOMATE
PULPA FINAL DE TOMATE X 400 G,S/ 4.90,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,400.0,g,4.9,tottus,,TOTTUS,PASTA Y SALSA DE TOMATE
Salsa de Tomate Pomarola Bolognesa de 370 g,S/ 6.85,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,370.0,g,6.85,tottus,,MOLITALIA,PASTA Y SALSA DE TOMATE
Salsa Pomarola MOLITALIA Doypack 145g Pack 6u,S/ 8.40 26%,vega,PASTA Y SALSA DE TOMATE,2024-12-04 14:38:57.123173,145.0,g,8.4,vega,,Gloria,PASTA Y SALSA DE TOMATE
Salsa para Pastas Filippo Berio Tomate Pesto Frasco 190 g,S/ 9.90,metro,PASTA Y SALSA DE TOMATE,2024-12-04 22:11:39.107222,190.0,g,9.9,metro,,,PASTA Y SALSA DE TOMATE
Salsa de Tomate Don Italo 250g,S/ 10.99,wong,PASTA Y SALSA DE TOMATE,2024-12-04 20:30:04.424566,250.0,g,10.99,wong,,,PASTA Y SALSA DE TOMATE
Salsa de Tomate Don Italo 250g,S/ 10.99,metro,PASTA Y SALSA DE TOMATE,2024-12-04 22:11:39.107222,250.0,g,10.99,metro,,,PASTA Y SALSA DE TOMATE
Salsa de Tomate Pomarola Clásica - 6 unidades,S/ 11.10,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,6.0,un,11.1,tottus,,MOLITALIA,PASTA Y SALSA DE TOMATE
Concentrado De Tomate 210 g,S/ 13.50,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,210.0,g,13.5,tottus,,MUTTI,PASTA Y SALSA DE TOMATE
Salsa para Pastas Filippo Berio Tomate Pesto Frasco 190 g,S/ 13.90,wong,PASTA Y SALSA DE TOMATE,2024-12-04 20:30:04.424566,190.0,g,13.9,wong,,,PASTA Y SALSA DE TOMATE
Concentrado De Tomate x 1 Kg,S/ 13.90,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,1.0,kg,13.9,tottus,,POMAROLA,PASTA Y SALSA DE TOMATE
Salsa de Tomate Arrabbiata 400 g,S/ 19.80,tottus,PASTA Y SALSA DE TOMATE,2024-12-04 13:54:40.531685,400.0,g,19.8,tottus,,BARILLA,PASTA Y SALSA DE TOMATE
Aderezo de Tomate Harmless Ketchup 352g,S/ 27.20,metro,PASTA Y SALSA DE TOMATE,2024-12-04 22:11:39.107222,352.0,g,27.2,metro,,,PASTA Y SALSA DE TOMATE
