description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Caldo Sabor Costilla de Res Doña Gusta 6 Unidades,S/ 2.20,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,6.0,un,2.2,tottus,,AJINOMOTO,MONDONGO DE RES
Concentrado en polvo DOÑA GUSTA Caldo sabor a costilla de res Caja 6Un,S/ 2.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,6.0,un,2.2,vivanda,,DOÑA GUSTA,MONDONGO DE RES
Sopa Ramen Sabor Res 85 g,S/ 3.30,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,85.0,g,3.3,tottus,,MARUCHAN,MONDONGO DE RES
Masticable Re galiz FINI Tutti Frutti Ácido Bolsa 80 g,S/ 4.20,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,80.0,g,4.2,vega,,Fini,MONDONGO DE RES
Masticable Re galiz FINI Fresa Ácida Bolsa 80 g,S/ 4.20,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,80.0,g,4.2,vega,,Fini,MONDONGO DE RES
Chocolate REESE'S Peanuts Caramel Bolsa 47g,S/ 4.50 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,47.0,g,4.5,plaza_vea,Bolsa 47g,,MONDONGO DE RES
Sopa Instantánea Maruchan Ilunch Res 64 g,S/ 5.90,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,64.0,g,5.9,tottus,,,MONDONGO DE RES
Chilcano TABERNERO BAR Maracuyá Botella 275 ml,S/ 5.90 16%,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,275.0,ml,5.9,vega,,Tabernero,MONDONGO DE RES
Chilcano Bar TABERNERO Limón Botella 275 ml,S/ 5.90 16%,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,275.0,ml,5.9,vega,,Tabernero,MONDONGO DE RES
Bebida Carbonatada RED BULL Green Edition Lata...,S/ 6 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,250.0,ml,6.0,plaza_vea,Lata 250ml,,MONDONGO DE RES
Bebida energizante RED BULL Light Lata 250Ml,S/ 6 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,250.0,ml,6.0,plaza_vea,Lata 250ml,,MONDONGO DE RES
Bebida Energizante RED BULL Tropical Lata 250m...,S/ 6 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,250.0,ml,6.0,plaza_vea,Lata 250ml,,MONDONGO DE RES
Bebida Energizante RED BULL Red Edition Lata 2...,S/ 6 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,250.0,ml,6.0,plaza_vea,Lata 250ml,,MONDONGO DE RES
