description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Granadilla Oxapampa x unidad,,1.0,un,0.9,plaza_vea,2024-12-04 13:55:06.066806,GRANADILLA,1.0,un,0.9,GRANADILLA
Granadilla Oxapampa x un,VIVANDA,1.0,un,0.9,vivanda,2024-12-04 17:48:35.024983,GRANADILLA,1.0,un,0.9,GRANADILLA
Granadilla Extra x unid,,1.0,un,1.29,wong,2024-12-04 19:34:02.012621,GRANADILLA,1.0,un,1.29,GRANADILLA
Citrus Granadilla TAMPICO Botella 500ml,,500.0,ml,1.7,plaza_vea,2024-12-04 13:55:06.066806,GRANADILLA,500.0,ml,1.7,GRANADILLA
Bebida Tampico Granadilla Punch Botella 500ml,,500.0,ml,1.7,wong,2024-12-04 19:34:02.012621,GRANADILLA,500.0,ml,1.7,GRANADILLA
Bebida Rehidratante Electrolight Granadilla Botella 475 ml,,475.0,ml,2.1,wong,2024-12-04 19:34:02.012621,GRANADILLA,475.0,ml,2.1,GRANADILLA
Bebida de Piña y Granadilla Golden Botella 485ml,,485.0,ml,4.5,wong,2024-12-04 19:34:02.012621,GRANADILLA,485.0,ml,4.5,GRANADILLA
Yogurt Probiótico Laive Sbelt Granadilla y Linaza 946g,,946.0,g,6.3,wong,2024-12-04 19:34:02.012621,GRANADILLA,946.0,g,6.3,GRANADILLA
Pulpa de Granadilla Congelada Natifut 250g,,250.0,g,6.4,wong,2024-12-04 19:34:02.012621,GRANADILLA,250.0,g,6.4,GRANADILLA
Refresco ARUBA Granadilla Punch Botella 3L,,3.0,l,6.6,plaza_vea,2024-12-04 13:55:06.066806,GRANADILLA,3.0,l,6.6,GRANADILLA
Granadilla Tipo Exportación 4un.,,4.0,un,6.69,wong,2024-12-04 19:34:02.012621,GRANADILLA,4.0,un,6.69,GRANADILLA
Citrus Granadilla TAMPICO Botella 3L,,3.0,l,7.0,plaza_vea,2024-12-04 13:55:06.066806,GRANADILLA,3.0,l,7.0,GRANADILLA
Citrus Granadilla TAMPICO Botella 3L,TAMPICO,3.0,l,7.0,vivanda,2024-12-04 17:48:35.024983,GRANADILLA,3.0,l,7.0,GRANADILLA
Pulpa de Granadilla Agro Selva 250g,,250.0,g,12.99,wong,2024-12-04 19:34:02.012621,GRANADILLA,250.0,g,12.99,GRANADILLA
