brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Corona,Cerveza CORONA Botella 330ml Paquete 6u,S/ 23.90 23%,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,330.0,ml,23.9
Cristal,Cerveza CRISTAL Pack 12u Lata 355ml,S/ 38.20 7%,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,355.0,ml,38.2
Corona,Cerveza CORONA Pack 6 Botella 210ml,S/ 17.79 4%,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,210.0,ml,17.79
Sapolio,Lavavajilla Líquido SAPOLIO Manzana Botella 750 ml,S/ 8.90 3%,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,750.0,ml,8.9
Ambrosoli,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa 70 un,S/ 9.00,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,70.0,un,9.0
Gn,Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete 8 un,S/ 5.00,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,8.0,un,5.0
Suavitel,Suavizante SUAVITEL Frescura de Manzana Doypack 180ml,S/ 2.20,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,180.0,ml,2.2
Clorandina,Lavavajilla en Pasta CLORANDINA Manzana Pote 1000gr,S/ 6.30,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,1000.0,g,6.3
SUEROX,Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml x 12u,S/ 78.00,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,630.0,ml,78.0
Cristal,Cerveza CRISTAL Pack 12u Lata 355ml x 2u,,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,355.0,ml,
Heineken,Cerveza HEINEKEN Pack 6 Botella 330ml,S/ 27.90 13%,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,330.0,ml,27.9
Glade,Aromantizante en Spray GLADE 5 en 1 Manzana y Canela Frasco 400ml,S/ 9.90,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,400.0,ml,9.9
Stella Artois,Cerveza STELLA ARTOIS Pack 6 Botella 330ml,S/ 31.92,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,330.0,ml,31.92
Santa Catalina,Avena con Manzana SANTA CATALINA Bolsa 150g,S/ 4.10,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,150.0,g,4.1
SUEROX,Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml,S/ 6.50,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,630.0,ml,6.5
Vclean,Limpiador VCLEAN Manzana y Canela Botella 900ml,S/ 3.20,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,900.0,ml,3.2
Suavitel,Suavizante SUAVITEL Frescura de Manzana Botella 970ml,S/ 12.50,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,970.0,ml,12.5
Universal,Maizena UNIVERSAL Bolsa 180gr,S/ 3.00,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,180.0,g,3.0
Duryea,Maizena DURYEA Caja 100gr,S/ 2.90,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,100.0,g,2.9
P.A.N.,Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,1.0,kg,8.5
