brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Primor,Filete de Atún PRIMOR en Aceite Vegetal Lata 140g x6u,S/ 32.40 17%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,140.0,g,32.4
Primor,Aceite Vegetal PRIMOR Premium Botella 900L,S/ 9.50 10%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,l,9.5
Vega,Trozos de Atún VEGA en Aceite Vegetal Lata 150g x6u,S/ 25.20 9%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,150.0,g,25.2
Vega,Aceite VEGA de Soya Botella 900ml,S/ 5.80 6%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,ml,5.8
Vega,Filete de Atún VEGA en Aceite Vegetal Lata 150g x6u,S/ 27.00 6%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,150.0,g,27.0
Primor,Aceite Vegetal PRIMOR Clásico Botella 900L,S/ 9.10 4%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,l,9.1
Cocinero,Aceite Vegetal COCINERO Botella 900L,S/ 8.50 3%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,l,8.5
Florida,Trozos de Atún FLORIDA en Aceite Vegetal Lata 140gr Pack 6u,S/ 31.80 17%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,140.0,g,31.8
Primor,Aceite Vegetal PRIMOR Clásico Botella 900ml Caja 12u,S/ 139.20,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,ml,139.2
Vega,Aceite VEGA Botella 900ml Caja 12 und,,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,ml,
Campomar,Trozos de Atún CAMPOMAR en Aceite Vegetal Lata 150g x6u,S/ 30.00 18%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,150.0,g,30.0
Primor,Aceite Vegetal PRIMOR Clásico Botella 900L x2u,S/ 18.20 21%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,l,18.2
Vega,Aceite VEGA de Soya Botella 900ml Pack 3,,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,ml,
Campomar,Trozos de Atún CAMPOMAR en Aceite Vegetal Lata 150g,S/ 5.40,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,150.0,g,5.4
Florida,Filete de Atún FLORIDA en Aceite Vegetal Lata Pack 6 lata 140g,S/ 33.60 12%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,140.0,g,33.6
Primor,Trozos de Atún PRIMOR en Aceite Vegetal Lata 140g Pack 6u,S/ 30.60 15%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,140.0,g,30.6
Vega,Trozos de Atún VEGA en Aceite Vegetal Lata 150g,S/ 4.70,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,150.0,g,4.7
Vega,Aceite de Soya VEGA Botella 500ml,S/ 4.30,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,500.0,ml,4.3
Florida,Trozos de Atún FLORIDA en Aceite Vegetal Lata 140gr,S/ 5.80,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,140.0,g,5.8
Campomar,Grated de Atún CAMPOMAR en Aceite Vegetal Lata 160g,S/ 3.80,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,160.0,g,3.8
