description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Fresas Emporio 600g,S/ 15.99,wong,FRESA,2024-12-04 19:36:37.077610,600.0,g,15.99
Arándanos Extra Wong 500g,S/ 19.50,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,19.5
Arándano Hortifrut 300g,S/ 10.99,wong,FRESA,2024-12-04 19:36:37.077610,300.0,g,10.99
Arándanos Wong 200g,S/ 7.99,wong,FRESA,2024-12-04 19:36:37.077610,200.0,g,7.99
Arándano Blueberry 500 g,S/ 15.99,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,15.99
Fresa Americana 600g,S/ 13.49,wong,FRESA,2024-12-04 19:36:37.077610,600.0,g,13.49
Frambuesa Siembra Perú Bandeja 250g,S/ 25.99,wong,FRESA,2024-12-04 19:36:37.077610,250.0,g,25.99
Zarzamora 250g,S/ 15.99,wong,FRESA,2024-12-04 19:36:37.077610,250.0,g,15.99
Zarzamora Hortifrut 100g,S/ 11.99,wong,FRESA,2024-12-04 19:36:37.077610,100.0,g,11.99
Frambuesa Hortifrutc 125g,S/ 12.49,wong,FRESA,2024-12-04 19:36:37.077610,125.0,g,12.49
Mix de Berries Hortifrut 340g,S/ 27.50,wong,FRESA,2024-12-04 19:36:37.077610,340.0,g,27.5
Arándanos Hortifrut 125g,S/ 5.99,wong,FRESA,2024-12-04 19:36:37.077610,125.0,g,5.99
Fresa Entera Congelada El Frutero 1kg,S/ 12.79,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,12.79
"Mix de Arándano, Fresa y Frambuesa El Frutero 1kg",S/ 16.79,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,16.79
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",S/ 15.72,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,15.72
"Arándanos, Fresas, Zarzamoras, Cerezas y Frambuesas Congeladas Berries Del Perú Bolsa 350 g",S/ 13.52,wong,FRESA,2024-12-04 19:36:37.077610,350.0,g,13.52
Pulpa de Fresa Congelada El Frutero 500g,S/ 7.19,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,7.19
"Arándanos, Fresas, Zarzamoras y Cerezas Congeladas Berries Del Perú Bolsa 350 g",S/ 12.72,wong,FRESA,2024-12-04 19:36:37.077610,350.0,g,12.72
Fresas Congeladas Berries del Perú 1kg,S/ 14.32,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,14.32
Fresa Entera Congelada Green Food Bolsa 1 Kg,S/ 16.99,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,16.99
Fresa Entera Green Food 400g,S/ 5.59,wong,FRESA,2024-12-04 19:36:37.077610,400.0,g,5.59
Piña Golden en Trozos Congelada El Frutero 1kg,S/ 13.59,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,13.59
Papaya en Trozos Congelada El Frutero 1kg,S/ 12.55,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,12.55
Arándano Entero Congelado El Frutero 1kg,S/ 20.99,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,20.99
Piña Orgánica Golden x kg,S/ 12.49 x kg,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,12.49
Plátano Bizcocho Orgánico x kg,S/ 6.99 x kg,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,6.99
Pulpa de Maracuyá Congelada El Frutero 500g,S/ 9.44,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,9.44
Pulpa de Lúcuma Congelada El Frutero 500g,S/ 9.83,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,9.83
"Arándanos, Zarzamoras y Frambuesas Congeladas Berries Del Perú Bolsa 350 g",S/ 13.03,wong,FRESA,2024-12-04 19:36:37.077610,350.0,g,13.03
Pulpa de Mango Congelada El Frutero 500g,S/ 6.59,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,6.59
Frambuesa Congelada El Frutero 500g,S/ 28.99,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,28.99
Piña Golden en Trozos Congelados 1kg,S/ 16.99,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,16.99
Frambuesas Congeladas Berries Del Perú Bolsa 350g,S/ 23.92,wong,FRESA,2024-12-04 19:36:37.077610,350.0,g,23.92
Arándanos Congelados Berries del Perú 1kg,S/ 19.68,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,19.68
Paletas de Helado Alaska Fresa 5un,S/ 17.90,wong,FRESA,2024-12-04 19:36:37.077610,5.0,un,17.9
Helado Frio Rico Crocante Fresa de Huaura 900ml,S/ 24.90,wong,FRESA,2024-12-04 19:36:37.077610,900.0,ml,24.9
Cerezas Congeladas Berries Del Perú Bolsa 350 g,S/ 16.63,wong,FRESA,2024-12-04 19:36:37.077610,350.0,g,16.63
Helado Haagen Dazs Fresa 473ml,S/ 34.90,wong,FRESA,2024-12-04 19:36:37.077610,473.0,ml,34.9
Arándanos Congelados Berries Del Perú Bolsa 350g,S/ 11.11,wong,FRESA,2024-12-04 19:36:37.077610,350.0,g,11.11
Plátano Bellaco Orgánico Patt Fresh x kg,S/ 6.49 x kg,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,6.49
Pulpa de Acaí Congelado Berries Del Perú Bolsa 400 g,S/ 26.15,wong,FRESA,2024-12-04 19:36:37.077610,400.0,g,26.15
Frutas del Bosque Green Food 400g,S/ 15.00,wong,FRESA,2024-12-04 19:36:37.077610,400.0,g,15.0
Frambuesa Entera Congelada Green Food Bolsa 400 g,S/ 23.91,wong,FRESA,2024-12-04 19:36:37.077610,400.0,g,23.91
Néctar Light de Fresa con Naranja Ecofresh Botella 1.8L,S/ 19.90,wong,FRESA,2024-12-04 19:36:37.077610,1.8,l,19.9
Helado Haagen Dazs Macaron Fresa y Frambuesa 420ml,S/ 38.70,wong,FRESA,2024-12-04 19:36:37.077610,420.0,ml,38.7
Zarzamoras Congeladas Berries Del Perú Bolsa 350 g,S/ 21.36,wong,FRESA,2024-12-04 19:36:37.077610,350.0,g,21.36
Helado de Crema Peziduri Fresa 900ml,S/ 11.90,wong,FRESA,2024-12-04 19:36:37.077610,900.0,ml,11.9
Pulpa de Camu Camu Congelada Natifut 250g,S/ 14.99,wong,FRESA,2024-12-04 19:36:37.077610,250.0,g,14.99
Helado de Yogurt Probiótico Berries del Perú Fresas y Cerezas 500ml,S/ 34.90,wong,FRESA,2024-12-04 19:36:37.077610,500.0,ml,34.9
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",S/ 15.72,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,15.72
Pulpa Congelada de Piña Natifrut 250g,S/ 5.20,wong,FRESA,2024-12-04 19:36:37.077610,250.0,g,5.2
Pulpa de Granadilla Congelada Natifut 250g,S/ 6.40,wong,FRESA,2024-12-04 19:36:37.077610,250.0,g,6.4
Néctar de Fresa con Naranja Bajo en Calorías Ecofresh Botella 1L,S/ 12.60,wong,FRESA,2024-12-04 19:36:37.077610,1.0,l,12.6
Piña en Trozos Congelada Fest 500g,S/ 8.99,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,8.99
Pulpa Congelada de Pitahaya Berries del Perú 200g,S/ 12.79,wong,FRESA,2024-12-04 19:36:37.077610,200.0,g,12.79
Pulpa Congelada de Camu Camu Berries del Perú 200g,S/ 12.00,wong,FRESA,2024-12-04 19:36:37.077610,200.0,g,12.0
Papaya en Trozos Congelados Natifrut 1kg,S/ 16.14,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,16.14
"Pulpa Congelada de Acaí, Arándano y Mango Berries del Perú 200g",S/ 10.96,wong,FRESA,2024-12-04 19:36:37.077610,200.0,g,10.96
Piña Hawai en Trozos Congelados 1kg,S/ 13.99,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,13.99
Plátano Palillo Orgánico x kg,S/ 5.99 x kg,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,5.99
Helado Haagen Dazs Fresa 100ml,S/ 12.90,wong,FRESA,2024-12-04 19:36:37.077610,100.0,ml,12.9
"Pulpa Congelada de Acaí, Arándano y Piña Golden Berries del Perú 200g",S/ 10.96,wong,FRESA,2024-12-04 19:36:37.077610,200.0,g,10.96
Helado Sabor Fresa Dulce Pasión 650g,S/ 23.50,wong,FRESA,2024-12-04 19:36:37.077610,650.0,g,23.5
Arándanos Congelados Fest 500g,S/ 9.99,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,9.99
Helado Wong Premium Diet Fresa 500g,S/ 32.50,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,32.5
Papaya en Trozos Congelada Fest 500g,S/ 7.99,wong,FRESA,2024-12-04 19:36:37.077610,500.0,g,7.99
Fresa Deshidratada Natifrut x kg,S/ 260.00 x kg,wong,FRESA,2024-12-04 19:36:37.077610,1.0,kg,260.0
Helado Wong Premium Fresa 440g,S/ 32.50,wong,FRESA,2024-12-04 19:36:37.077610,440.0,g,32.5
Helado de Fresa Dulce Pasión 5L,S/ 99.90,wong,FRESA,2024-12-04 19:36:37.077610,5.0,l,99.9
Helado Lift Berry & Fresa 95g,S/ 12.90,wong,FRESA,2024-12-04 19:36:37.077610,95.0,g,12.9
Helado de Fresa con Leche Condensada Cuisine & Co 571ml,S/ 19.90,wong,FRESA,2024-12-04 19:36:37.077610,571.0,ml,19.9
Pulpa de Arándano Congelada Natifut 250g,S/ 11.80,wong,FRESA,2024-12-04 19:36:37.077610,250.0,g,11.8
