description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Papaya x kg,S/ 4.49 x kg,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,4.49
Papaya en Trozos Congelada El Frutero 1kg,S/ 12.55,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,12.55
Papaya en Trozos Natifrut 280g,S/ 8.49,wong,PAPAYA,2024-12-04 19:30:08.627849,280.0,g,8.49
Papaya en Trozos Congelados Natifrut 1kg,S/ 16.14,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,16.14
Papaya en Trozos Congelada Fest 500g,S/ 7.99,wong,PAPAYA,2024-12-04 19:30:08.627849,500.0,g,7.99
Piña en Trozos Golden 500g,S/ 13.49,wong,PAPAYA,2024-12-04 19:30:08.627849,500.0,g,13.49
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",S/ 15.72,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,15.72
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",S/ 9.49,wong,PAPAYA,2024-12-04 19:30:08.627849,340.0,g,9.49
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",S/ 15.72,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,15.72
Mermelada Dietética D'Marco De Maracuyá/Papaya Frasco 210 g,S/ 12.90,wong,PAPAYA,2024-12-04 19:30:08.627849,210.0,g,12.9
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",S/ 2.10,wong,PAPAYA,2024-12-04 19:30:08.627849,500.0,ml,2.1
Mermelada Dietética D'Marco Maracuyá y Papaya Frasco 470 g,S/ 21.80,wong,PAPAYA,2024-12-04 19:30:08.627849,470.0,g,21.8
Mermelada Dietética D'Marco De Piña/Papaya Frasco 220 g,S/ 12.90,wong,PAPAYA,2024-12-04 19:30:08.627849,220.0,g,12.9
