brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
3 OSITOS,Avena Clásica Precocida 900 g,S/ 10.90,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,900.0,g,10.9
ANGEL,Cereal en Hojuelas de Maíz ángel Flakes 1 kg,S/ 15.90,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,1.0,kg,15.9
3 OSITOS,Quinua Avena Hojuela Precocida 900g,S/ 11.90,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,900.0,g,11.9
ANGEL,Cereal en Hojuelas de Maíz Azúcaradas Zuck 1 kg,S/ 22,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,1.0,kg,22.0
3 OSITOS,Avena Hojuela Precocida Clásica 500g,S/ 6.90,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,500.0,g,6.9
NESTLE,Cereal en hojuelas sin gluten Corn Flakes 405 gr,S/ 16.50,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,405.0,g,16.5
ANGEL,Cereal Hojuelas de Maíz Azúcaradas Zuck 500 g,S/ 15.70,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,500.0,g,15.7
ANGEL,Cereal Flakes en Hojuelas de Maíz 500 g,S/ 11.50,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,500.0,g,11.5
ANGEL,Cereal Copix en Hojuelas de Chocolate 380 g,S/ 11.90,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,380.0,g,11.9
TOTTUS,Avena Hojuelas Precocidas de 1Kg,S/ 13.20,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,1.0,kg,13.2
FITNESS,Cereal en hojuelas con pasas y coco de 330 g,S/ 19.70,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,330.0,g,19.7
ANGEL,Cereal Ángel Life Fibra en Hojuelas de Trigo 300 g,S/ 12.50,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,300.0,g,12.5
ANGEL,Cereal Ángel Life Fibra en Hojuelas de Trigo 560 g,S/ 21.50,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,560.0,g,21.5
NESTLE,Cereal Hojuelas de Maíz Nestlé Corn Flakes 180 gr,S/ 12,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,180.0,g,12.0
ANGEL,Cereal Ángel Life Multigrain en Hojuelas de Trigo y Cranberries 300 g,S/ 12.50,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,300.0,g,12.5
ANGEL,Cereal Life Cero Sin Azúcar en Hojuelas de Trigo y Maíz de 300 g,S/ 12.50,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,300.0,g,12.5
GRANO DE ORO,Hojuelas precocidas de avena de 1 kg,S/ 10.50,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,1.0,kg,10.5
TOTTUS,Avena en Hojuelas Precocida 380 g,S/ 4,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,380.0,g,4.0
PRECIO UNO,Hojuelas de Maíz Azucaradas 500g,S/ 7.90,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,500.0,g,7.9
MOLICUSCO,Hojuelas de Kiwicha 200 g,S/ 7.65,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,200.0,g,7.65
MOLICUSCO,Hojuelas de Quinua 200 g,S/ 9.75,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,200.0,g,9.75
TOTTUS,Avena y Chía en Hojuelas de 380 g,S/ 4,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,380.0,g,4.0
GRANO DE ORO,Avena Hojuelas Gruesas 900 g,S/ 17,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,900.0,g,17.0
LA PURITA,Avena en Hojuelas sin Gluten 800g,S/ 18,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,800.0,g,18.0
MOLITALIA,Avena Hojuela 3 Ositos Precocida Clásica 250g,S/ 5,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,250.0,g,5.0
TOTTUS,Hojuelas de Maíz Azúcaradas 500 g,S/ 11.80,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,500.0,g,11.8
3 OSITOS,AVENA HOJUELA C/CHOCOL X 180G,S/ 5,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,180.0,g,5.0
TOTTUS,Hojuelas de Chocolate con Marshmallows Kids 380 g,S/ 11.80,tottus,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-04 13:06:23.303851,380.0,g,11.8
