Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp
Pedidos Ya Lince,Abarrotes,Aceite Primor Vegetal Premium 900Ml,,10.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Café Molido Explora Dark Roast 250 g,,29.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Salsa Don Vittorio Roja Completa Doy Pack 400 g,"Contiene 400 gramos.
Salsa a base de tomate con zanahoria y especias.
Listo para servir",7.6,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Spaghetti Don Vittorio 950g,"Contiene 950 gramos.
Pasta de trigo.
Tipo: Spaghetti",7.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Cereal Angel Zuck Bolsa 1 kg,,23.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Cereal Angel Frutt Aros Maiz Cereal 420 g,,16.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Café Molido Explora Gold 250 g,,33.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Don Vittorio Tornillo 225g,"Elaborado con trigo durum canadiense de alto contenido proteico, garantizando calidad y sabor excepcionales.",3.0,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Salsa Roja Don Vittorio Doy Pack 200 g,"Contiene 200 gramos.
Salsa a base de tomate con zanahoria y especias.
Listo para servir",5.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Aceite Primor Vegetal 900 mL,"Contiene 900ml.
Aceite vegetal100% vegetal.
Sin antioxidantes ni sintéticos",10.0,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Cereal Angel Meli Bolsa 420 g,,16.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Aceite Vegetal Primor Botella 1.8L,"Contiene 1.8 litros.
Aceite vegetal100% vegetal.
Sin antioxidantes ni sintéticos",19.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Don Vittorio Canuto Rayado 235g,Pasta de trigo selectos elaborado con una rigurosa selección de trigo durum canadiense de alto contenido proteico. Disfruta de la mejor calidad en cada platillo.,3.0,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Don Vittorio Codo Rayado 225g,"Elaborado con trigo durum canadiense de alto contenido proteico, garantizando calidad y sabor excepcionales.",3.0,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Cereal Angel Zuck Bolsa 500 g,,16.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Linguini Don Vittorio 450g,"Contiene 450 gramos.
Pasta de trigo.
Tipo: Linguini",4.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Cereal Angel Chock Bolsa 420 g,,16.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Cereal Tito Almohada Angel Chocolate Bolsa 350 g,,16.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pack 2 Harina Molitalia Sin Preparar 1 kg,,15.8,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pack 2 Fideo Don Vittorio Spaghetti 450 g,,10.4,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Atún Fanny Filete En Aceite Vegetal 140 Gr,,6.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pack 2 Salsa Alacena Mayonesa 850 g,,39.8,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pack 2 Mayonesa Alacena Doypack 475 g,,29.0,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Arroz Extra Costeño Bolsa 750 g,,4.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Trozos Atun Primor 140Gr,,6.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Dulfina Bolsa 1 kg,,5.6,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Salsa Pomarola Molitalia 145 Gr,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Maíz Pop Corn COSTEÑO Bolsa 500g,,5.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Atún Fanny Trozos En Aceite Vegetal 140 Gr,,7.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Spaghetti Molitalia 950 Gr.,,6.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pasta Ensalada Tornillo Molitalia 235G,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Filete De Atún En Agua Y Sal Primor 140G,"Contiene 140 gramos.
Filete de atún.
Conservado en agua y sal",6.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Harina Molitalia Sin Preparar 1Kg,,7.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Leche Condensada Nestlé 393G,,6.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pasta Molitalia Tornillo Tricolor 235 g,"Contiene 235 gramos.
Tornillo Tricolor.
Pasta con sémola, tomate y espinaca.
Alto en proteínas.
Hecho con Trigo Durum",2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Leche Condensada Gloria Doy Pack 200 G,,4.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideos Cabello De Angel Molitalia 250g,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Mermelada Gloria Fresa Pote 310G,,7.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pomarola Salsa Clasica Molitalia 290g,,4.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Gloria Leche Condensada Lata 393 g,"Parcialmente descremada.
Ideal para preparación de postres.
Peso: 393 g",7.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Sachet 90G,,1.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Arroz Extra Costeño Bolsa 5Kg,"Contiene 5 kilos.
Arroz extra",28.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Gallina 80Gr,"Contiene 80 gramos.
Sopa instantánea con fideos.
Sabor: Gallina.
Rinde 2 porciones",2.1,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Vaso 290G,,5.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Gallina Picante 80Gr,,2.1,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Spaghetti Molitalia 450 Gr,"Contiene 450g.
Spaghetti de rápida cocción.
Elaborado con ingredientes de calidad",3.6,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Cartavio 1 kg,,5.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Salsa A La Bolognesa Molitalia 170g,"Contiene 170 gramos.
Salsa de tomates con carne y verduras.
Elaborada con al menos 6 tomates",3.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Doypack 700G,,11.0,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Harina Molitalia Preparada 1Kg,,8.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Arroz Superior Costeño Bolsa 5Kg,"Contiene 5 kilos.
Arroz superior",26.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Molitalia Macarron Molitalia 235 Gr,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Salsa De Espinaca Y Albahaca Pomarola Molitalia 110G,,3.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Molitalia Tornillo Molitalia 235 Gr,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Tallarin Molitalia 450 g,"Contiene 450 gramos.
Tallarín de rápida cocción.
Elaborado con ingredientes de calidad.
Naturalmente alto en proteínas",3.6,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Salsa A La Bolognesa Molitalia 370g,"Contiene 370 gramos.
Salsa de tomates con carne y verduras.
Elaborada con al menos 6 tomates",7.2,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Mayonesa AlaCena Doypack 475 g,"Deliciosa y potente Mayonesa 500 g, perfecta para añadir a tus platos favoritos. Elaborada con selectos y naturales ingredientes.",14.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Molitalia Caracol Chico Molitalia 235 Gr,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Don Vittorio Spaghetti 450 g,"Contiene 450 gramos.
Pasta de trigo.
Tipo: Spaghetti",4.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Barras De Cereal Chips Cereal Bar Costa 21 Gr.,"Contiene 12 barras barras de cereal.
Sabor chispas de chocolate.
Contenido: 252 g",7.2,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Molitalia Codo Ray Mediano Molitalia 235 Gr,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pasta Corta Tornillo Bolsa 500 g,,3.4,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Sirope Laive Sabor A Maple 355 mL,,10.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Letras Molitalia 235 g,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Fideo Rigatoni Molitalia 235 g,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Pasta Corta Macarrón Bolsa 500 g,,3.4,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Sémola Molitalia 200Gr,,2.1,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Molitalia Canuto Molitalia 235 Gr,,2.5,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Quinua Costeño Bolsa 500G,,10.9,2024-12-04 13:56:17.787502
Pedidos Ya Lince,Abarrotes,Mermelada Fresa Vaso Fanny 290 Gr,,5.9,2024-12-04 13:56:17.787502
